size_kb,payload_bytes,tombstone_bytes,acl_bytes,index_bytes,catalog_bytes,overhead_bytes
16,51,1007.974,0,379.450,1192.390,1387.424
256,289,1018.374,0,385.780,1210.860,1404.154
4096,4098,1021.670,0,388.780,1219.340,1410.450
8192,8162,1021.670,0,388.780,1219.340,1410.450
16384,16777216,1024.670,0,391.780,1226.340,1416.450
