method,catalog_entries,clients,successes,mean_ms,sd_ms,p50_ms,p95_ms,p99_ms,throughput_ops_per_s,failed_reps
"put",8,1,1000,30.101,21.728,27.426,30.611,189.620,33.215,0
"put",16,1,1000,32.520,24.517,28.720,32.301,200.190,30.744,0
"put",32,1,1000,35.888,27.622,31.249,35.507,219.728,27.860,0
"put",64,1,1000,42.063,29.158,36.898,43.610,228.788,23.770,0
"put",128,1,1000,51.937,30.492,47.041,52.592,245.775,19.251,0
"put",256,1,1000,86.975,27.302,82.734,89.243,280.654,11.496,0
"put",512,1,1000,177.008,28.439,171.896,194.021,365.235,5.649,0
"put",1024,1,1000,241.010,28.902,234.978,258.794,423.097,4.149,0
"put",2048,1,1000,334.052,30.281,327.581,361.002,500.978,2.993,0
"put",4096,1,1000,601.596,28.481,598.019,648.537,671.542,1.662,0
"put",8192,1,1000,1154.221,51.860,1149.532,1239.180,1310.070,0.866,0
"put",16384,1,1000,2353.391,74.193,2348.519,2481.870,2544.519,0.425,0
