size_kb,payload_bytes,tombstone_bytes,acl_bytes,index_bytes,catalog_bytes,overhead_bytes
16,16384,947.974,0,384.450,1122.390,1332.424
256,262144,958.374,0,390.780,1140.860,1349.154
4096,4194304,961.670,0,393.780,1149.340,1355.450
8192,8388608,961.670,0,393.780,1149.340,1355.450
16384,16777216,964.670,0,396.780,1156.340,1361.450
